"code", "description"
"717.49","Internal derangement of knee; Other"
"717.5","Internal derangement of knee; Derangement of meniscus, not elsewhere classified"
"717.6","Internal derangement of knee; Loose body in knee"
"717.7","Internal derangement of knee; Chondromalacia of patella"
"717.8","Other internal derangement of knee"
"717.81","Internal derangement of knee; Old disruption of lateral collateral ligament"
"717.82","Internal derangement of knee; Old disruption of medial collateral ligament"
"717.83","Internal derangement of knee; Old disruption of anterior cruciate ligament"
"717.84","Internal derangement of knee; Old disruption of posterior cruciate ligament"
"717.85","Internal derangement of knee; Old disruption of other ligaments of knee"
"717.89","Internal derangement of knee; Other"
"717.9","Internal derangement of knee; Unspecified internal derangement of knee"
"718","Other derangement of joint"
"718.0","Other derangement of joint; Articular cartilage disorder"
"718.00","Other derangement of joint; Articular cartilage disorder, site unspecified"
"718.01","Other derangement of joint; Articular cartilage disorder, shoulder region"
"718.02","Other derangement of joint; Articular cartilage disorder, upper arm"
"718.03","Other derangement of joint; Articular cartilage disorder, forearm"
"718.04","Other derangement of joint; Articular cartilage disorder, hand"
"718.05","Other derangement of joint; Articular cartilage disorder, pelvic region and thigh"
"718.07","Other derangement of joint; Articular cartilage disorder, ankle and foot"
"718.08","Other derangement of joint; Articular cartilage disorder, other specified sites"
"718.09","Other derangement of joint; Articular cartilage disorder, multiple sites"
"718.1","Other derangement of joint; Loose body in joint"
"718.10","Other derangement of joint; Loose body in joint, site unspecified"
"718.11","Other derangement of joint; Loose body in joint, shoulder region"
"718.12","Other derangement of joint; Loose body in joint, upper arm"
"718.13","Other derangement of joint; Loose body in joint, forearm"
"718.14","Other derangement of joint; Loose body in joint, hand"
"718.15","Other derangement of joint; Loose body in joint, pelvic region and thigh"
"718.17","Other derangement of joint; Loose body in joint, ankle and foot"
"718.18","Other derangement of joint; Loose body in joint, other specified sites"
"718.19","Other derangement of joint; Loose body in joint, multiple sites"
"718.2","Other derangement of joint; Pathological dislocation"
"718.20","Other derangement of joint; Pathological dislocation, site unspecified"
"718.21","Other derangement of joint; Pathological dislocation, shoulder region"
"718.22","Other derangement of joint; Pathological dislocation, upper arm"
"718.23","Other derangement of joint; Pathological dislocation, forearm"
"718.24","Other derangement of joint; Pathological dislocation, hand"
"718.25","Other derangement of joint; Pathological dislocation, pelvic region and thigh"
"718.26","Other derangement of joint; Pathological dislocation, lower leg"
"718.27","Other derangement of joint; Pathological dislocation, ankle and foot"
"718.28","Other derangement of joint; Pathological dislocation, other specified sites"
"718.29","Other derangement of joint; Pathological dislocation, multiple sites"
"718.3","Other derangement of joint; Recurrent dislocation of joint"
"718.30","Other derangement of joint; Recurrent dislocation of joint, site unspecified"
"718.31","Other derangement of joint; Recurrent dislocation of joint, shoulder region"
"718.32","Other derangement of joint; Recurrent dislocation of joint, upper arm"
"718.33","Other derangement of joint; Recurrent dislocation of joint, forearm"
"718.34","Other derangement of joint; Recurrent dislocation of joint, hand"
"718.35","Other derangement of joint; Recurrent dislocation of joint, pelvic region and thigh"
"718.36","Other derangement of joint; Recurrent dislocation of joint, lower leg"
"718.37","Other derangement of joint; Recurrent dislocation of joint, ankle and foot"
"718.38","Other derangement of joint; Recurrent dislocation of joint, other specified sites"
"718.39","Other derangement of joint; Recurrent dislocation of joint, multiple sites"
"718.4","Other derangement of joint; Contracture of joint"
"718.40","Other derangement of joint; Contracture of joint, site unspecified"
"718.41","Other derangement of joint; Contracture of joint, shoulder region"
"718.42","Other derangement of joint; Contracture of joint, upper arm"
"718.43","Other derangement of joint; Contracture of joint, forearm"
"718.44","Other derangement of joint; Contracture of joint, hand"
"718.45","Other derangement of joint; Contracture of joint, pelvic region and thigh"
"718.46","Other derangement of joint; Contracture of joint, lower leg"
"718.47","Other derangement of joint; Contracture of joint, ankle and foot"
"718.48","Other derangement of joint; Contracture of joint, other specified sites"
"718.49","Other derangement of joint; Contracture of joint, multiple sites"
"718.5","Other derangement of joint; Ankylosis of joint"
"718.50","Other derangement of joint; Ankylosis of joint, site unspecified"
"718.51","Other derangement of joint; Ankylosis of joint, shoulder region"
"718.52","Other derangement of joint; Ankylosis of joint, upper arm"
"718.53","Other derangement of joint; Ankylosis of joint, forearm"
"718.54","Other derangement of joint; Ankylosis of joint, hand"
"718.55","Other derangement of joint; Ankylosis of joint, pelvic region and thigh"
"718.56","Other derangement of joint; Ankylosis of joint, lower leg"
"718.57","Other derangement of joint; Ankylosis of joint, ankle and foot"
"718.58","Other derangement of joint; Ankylosis of joint, other specified sites"
"718.59","Other derangement of joint; Ankylosis of joint, multiple sites"
"718.6","Other derangement of joint; Unspecified intrapelvic protrusion of acetabulum"
"718.65","Other derangement of joint; Unspecified intrapelvic protrusion of acetabulum, pelvic region and thigh"
"718.7","Other derangement of joint; Developmental dislocation of joint"
"718.70","Other derangement of joint; Developmental dislocation of joint, site unspecified"
"718.71","Other derangement of joint; Developmental dislocation of joint, shoulder region"
"718.72","Other derangement of joint; Developmental dislocation of joint, upper arm"
"718.73","Other derangement of joint; Developmental dislocation of joint, forearm"
"718.74","Other derangement of joint; Developmental dislocation of joint, hand"
"718.75","Other derangement of joint; Developmental dislocation of joint, pelvic region and thigh"
"718.76","Other derangement of joint; Developmental dislocation of joint, lower leg"
"718.77","Other derangement of joint; Developmental dislocation of joint, ankle and foot"
"718.78","Other derangement of joint; Developmental dislocation of joint, other specified sites"
"718.79","Other derangement of joint; Developmental dislocation of joint, multiple sites"
"718.8","Other derangement of joint; Other joint derangement, not elsewhere classified"
"718.80","Other derangement of joint; Other joint derangement, not elsewhere classified, site unspecified"
"718.81","Other derangement of joint; Other joint derangement, not elsewhere classified, shoulder region"
"718.82","Other derangement of joint; Other joint derangement, not elsewhere classified, upper arm"
"718.83","Other derangement of joint; Other joint derangement, not elsewhere classified, forearm"
"718.84","Other derangement of joint; Other joint derangement, not elsewhere classified, hand"
"718.85","Other derangement of joint; Other joint derangement, not elsewhere classified, pelvic region and thigh"
"718.86","Other derangement of joint; Other joint derangement, not elsewhere classified, lower leg"
"718.87","Other derangement of joint; Other joint derangement, not elsewhere classified, ankle and foot"
"718.88","Other derangement of joint; Other joint derangement, not elsewhere classified, other specified sites"
"718.89","Other derangement of joint; Other joint derangement, not elsewhere classified, multiple sites"
"718.9","Other derangement of joint; Unspecified derangement of joint"
"718.90","Other derangement of joint; Unspecified derangement of joint, site unspecified"
"718.91","Other derangement of joint; Unspecified derangement of joint, shoulder region"
"718.92","Other derangement of joint; Unspecified derangement of joint, upper arm"
"718.93","Other derangement of joint; Unspecified derangement of joint, forearm"
"718.94","Other derangement of joint; Unspecified derangement of joint, hand"
"718.95","Other derangement of joint; Unspecified derangement of joint, pelvic region and thigh"
"718.97","Other derangement of joint; Unspecified derangement of joint, ankle and foot"
"718.98","Other derangement of joint; Unspecified derangement of joint, other specified sites"
"718.99","Other derangement of joint; Unspecified derangement of joint, multiple sites"
"719","Other and unspecified disorders of joint"
"719.0","Other and unspecified disorders of joint; Effusion of joint"
"719.00","Other and unspecified disorders of joint; Effusion of joint, site unspecified"
"719.01","Other and unspecified disorders of joint; Effusion of joint, shoulder region"
"719.02","Other and unspecified disorders of joint; Effusion of joint, upper arm"
"719.03","Other and unspecified disorders of joint; Effusion of joint, forearm"
"719.04","Other and unspecified disorders of joint; Effusion of joint, hand"
"719.05","Other and unspecified disorders of joint; Effusion of joint, pelvic region and thigh"
"719.06","Other and unspecified disorders of joint; Effusion of joint, lower leg"
"719.07","Other and unspecified disorders of joint; Effusion of joint, ankle and foot"
"719.08","Other and unspecified disorders of joint; Effusion of joint, other specified sites"
"719.09","Other and unspecified disorders of joint; Effusion of joint, multiple sites"
"719.1","Other and unspecified disorders of joint; Hemarthrosis"
"719.10","Other and unspecified disorders of joint; Hemarthrosis, site unspecified"
"719.11","Other and unspecified disorders of joint; Hemarthrosis, shoulder region"
"719.12","Other and unspecified disorders of joint; Hemarthrosis, upper arm"
"719.13","Other and unspecified disorders of joint; Hemarthrosis, forearm"
"719.14","Other and unspecified disorders of joint; Hemarthrosis, hand"
"719.15","Other and unspecified disorders of joint; Hemarthrosis, pelvic region and thigh"
"719.16","Other and unspecified disorders of joint; Hemarthrosis, lower leg"
"719.17","Other and unspecified disorders of joint; Hemarthrosis, ankle and foot"
"719.18","Other and unspecified disorders of joint; Hemarthrosis, other specified sites"
"719.19","Other and unspecified disorders of joint; Hemarthrosis, multiple sites"
"719.2","Other and unspecified disorders of joint; Villonodular synovitis"
"719.20","Other and unspecified disorders of joint; Villonodular synovitis, site unspecified"
"719.21","Other and unspecified disorders of joint; Villonodular synovitis, shoulder region"
"719.22","Other and unspecified disorders of joint; Villonodular synovitis, upper arm"
"719.23","Other and unspecified disorders of joint; Villonodular synovitis, forearm"
"719.24","Other and unspecified disorders of joint; Villonodular synovitis, hand"
"719.25","Other and unspecified disorders of joint; Villonodular synovitis, pelvic region and thigh"
"719.26","Other and unspecified disorders of joint; Villonodular synovitis, lower leg"
"719.27","Other and unspecified disorders of joint; Villonodular synovitis, ankle and foot"
"719.28","Other and unspecified disorders of joint; Villonodular synovitis, other specified sites"
"719.29","Other and unspecified disorders of joint; Villonodular synovitis, multiple sites"
"719.3","Other and unspecified disorders of joint; Palindromic rheumatism"
"719.30","Other and unspecified disorders of joint; Palindromic rheumatism, site unspecified"
"719.31","Other and unspecified disorders of joint; Palindromic rheumatism, shoulder region"
"719.32","Other and unspecified disorders of joint; Palindromic rheumatism, upper arm"
"719.33","Other and unspecified disorders of joint; Palindromic rheumatism, forearm"
"719.34","Other and unspecified disorders of joint; Palindromic rheumatism, hand"
"719.35","Other and unspecified disorders of joint; Palindromic rheumatism, pelvic region and thigh"
"719.36","Other and unspecified disorders of joint; Palindromic rheumatism, lower leg"
"719.37","Other and unspecified disorders of joint; Palindromic rheumatism, ankle and foot"
"719.38","Other and unspecified disorders of joint; Palindromic rheumatism, other specified sites"
"719.39","Other and unspecified disorders of joint; Palindromic rheumatism, multiple sites"
"719.4","Other and unspecified disorders of joint; Pain in joint"
"719.40","Other and unspecified disorders of joint; Pain in joint, site unspecified"
"719.41","Other and unspecified disorders of joint; Pain in joint, shoulder region"
"719.42","Other and unspecified disorders of joint; Pain in joint, upper arm"
"719.43","Other and unspecified disorders of joint; Pain in joint, forearm"
"719.44","Other and unspecified disorders of joint; Pain in joint, hand"
"719.45","Other and unspecified disorders of joint; Pain in joint, pelvic region and thigh"
"719.46","Other and unspecified disorders of joint; Pain in joint, lower leg"
"719.47","Other and unspecified disorders of joint; Pain in joint, ankle and foot"
"719.48","Other and unspecified disorders of joint; Pain in joint, other specified sites"
"719.49","Other and unspecified disorders of joint; Pain in joint, multiple sites"
"719.5","Other and unspecified disorders of joint; Stiffness of joint, not elsewhere classified"
"719.50","Other and unspecified disorders of joint; Stiffness of joint, not elsewhere classified, site unspecified"
"719.51","Other and unspecified disorders of joint; Stiffness of joint, not elsewhere classified, shoulder region"
"719.52","Other and unspecified disorders of joint; Stiffness of joint, not elsewhere classified, upper arm"
"719.53","Other and unspecified disorders of joint; Stiffness of joint, not elsewhere classified, forearm"
"719.54","Other and unspecified disorders of joint; Stiffness of joint, not elsewhere classified, hand"
"719.55","Other and unspecified disorders of joint; Stiffness of joint, not elsewhere classified, pelvic region and thigh"
"719.56","Other and unspecified disorders of joint; Stiffness of joint, not elsewhere classified, lower leg"
"719.57","Other and unspecified disorders of joint; Stiffness of joint, not elsewhere classified, ankle and foot"
"719.58","Other and unspecified disorders of joint; Stiffness of joint, not elsewhere classified, other specified sites"
"719.59","Other and unspecified disorders of joint; Stiffness of joint, not elsewhere classified, multiple sites"
"719.6","Other and unspecified disorders of joint; Other symptoms referable to joint"
"719.60","Other and unspecified disorders of joint; Other symptoms referable to joint, site unspecified"
"719.61","Other and unspecified disorders of joint; Other symptoms referable to joint, shoulder region"
"719.62","Other and unspecified disorders of joint; Other symptoms referable to joint, upper arm"
"719.63","Other and unspecified disorders of joint; Other symptoms referable to joint, forearm"
"719.64","Other and unspecified disorders of joint; Other symptoms referable to joint, hand"
"719.65","Other and unspecified disorders of joint; Other symptoms referable to joint, pelvic region and thigh"
"719.66","Other and unspecified disorders of joint; Other symptoms referable to joint, lower leg"
"719.67","Other and unspecified disorders of joint; Other symptoms referable to joint, ankle and foot"
"719.68","Other and unspecified disorders of joint; Other symptoms referable to joint, other specified sites"
"719.69","Other and unspecified disorders of joint; Other symptoms referable to joint, multiple sites"
"719.7","Other and unspecified disorders of joint; Difficulty in walking"
"719.8","Other and unspecified disorders of joint; Other specified disorders of joint"
"719.80","Other and unspecified disorders of joint; Other specified disorders of joint, site unspecified"
"719.81","Other and unspecified disorders of joint; Other specified disorders of joint, shoulder region"
"719.82","Other and unspecified disorders of joint; Other specified disorders of joint, upper arm"
"719.83","Other and unspecified disorders of joint; Other specified disorders of joint, forearm"
"719.84","Other and unspecified disorders of joint; Other specified disorders of joint, hand"
"719.85","Other and unspecified disorders of joint; Other specified disorders of joint, pelvic region and thigh"
"719.86","Other and unspecified disorders of joint; Other specified disorders of joint, lower leg"
"719.87","Other and unspecified disorders of joint; Other specified disorders of joint, ankle and foot"
"719.88","Other and unspecified disorders of joint; Other specified disorders of joint, other specified sites"
"719.89","Other and unspecified disorders of joint; Other specified disorders of joint, multiple sites"
"719.9","Other and unspecified disorders of joint; Unspecified disorder of joint"
"719.90","Other and unspecified disorders of joint; Unspecified disorder of joint, site unspecified"
"719.91","Other and unspecified disorders of joint; Unspecified disorder of joint, shoulder region"
"719.92","Other and unspecified disorders of joint; Unspecified disorder of joint, upper arm"
"719.93","Other and unspecified disorders of joint; Unspecified disorder of joint, forearm"
"719.94","Other and unspecified disorders of joint; Unspecified disorder of joint, hand"
"719.95","Other and unspecified disorders of joint; Unspecified disorder of joint, pelvic region and thigh"
"719.96","Other and unspecified disorders of joint; Unspecified disorder of joint, lower leg"
"719.97","Other and unspecified disorders of joint; Unspecified disorder of joint, ankle and foot"
"719.98","Other and unspecified disorders of joint; Unspecified disorder of joint, other specified sites"
"719.99","Other and unspecified disorders of joint; Unspecified disorder of joint, multiple sites"
"720","Ankylosing spondylitis and other inflammatory spondylopathies"
"720.0","Ankylosing spondylitis and other inflammatory spondylopathies; Ankylosing spondylitis"
"720.1","Ankylosing spondylitis and other inflammatory spondylopathies; Spinal enthesopathy"
"720.2","Ankylosing spondylitis and other inflammatory spondylopathies; Sacroiliitis, not elsewhere classified"
"720.8","Ankylosing spondylitis and other inflammatory spondylopathies; Other inflammatory spondylopathies"
"720.81","Ankylosing spondylitis and other inflammatory spondylopathies; Inflammatory spondylopathies in diseases classified elsewhere"
"720.89","Ankylosing spondylitis and other inflammatory spondylopathies; Other"
"720.9","Ankylosing spondylitis and other inflammatory spondylopathies; Unspecified inflammatory spondylopathy"
"721","Spondylosis and allied disorders"
"721.0","Spondylosis and allied disorders; Cervical spondylosis without myelopathy"
"721.1","Spondylosis and allied disorders; Cervical spondylosis with myelopathy"
"721.2","Spondylosis and allied disorders; Thoracic spondylosis without myelopathy"
"721.3","Spondylosis and allied disorders; Lumbosacral spondylosis without myelopathy"
"721.4","Spondylosis and allied disorders; Thoracic or lumbar spondylosis with myelopathy"
"721.41","Spondylosis and allied disorders; Thoracic region"
"721.42","Spondylosis and allied disorders; Lumbar region"
"721.5","Spondylosis and allied disorders; Kissing spine"
"721.6","Spondylosis and allied disorders; Ankylosing vertebral hyperostosis"
"721.7","Spondylosis and allied disorders; Traumatic spondylopathy"
"721.8","Spondylosis and allied disorders; Other allied disorders of spine"
"721.9","Spondylosis and allied disorders; Spondylosis of unspecified site"
"721.90","Spondylosis and allied disorders; Without mention of myelopathy"
"721.91","Spondylosis and allied disorders; With myelopathy"
"722","Intervertebral disc disorders"
"722.0","Intervertebral disc disorders; Displacement of cervical intervertebral disc without myelopathy"
"722.1","Intervertebral disc disorders; Displacement of thoracic or lumbar intervertebral disc without myelopathy"
"722.10","Intervertebral disc disorders; Lumbar intervertebral disc without myelopathy"
"722.11","Intervertebral disc disorders; Thoracic intervertebral disc without myelopathy"
"722.2","Intervertebral disc disorders; Displacement of intervertebral disc, site unspecified, without myelopathy"
"722.3","Intervertebral disc disorders; Schmorl's nodes"
"722.30","Intervertebral disc disorders; Unspecified region"
"722.31","Intervertebral disc disorders; Thoracic region"
"722.32","Intervertebral disc disorders; Lumbar region"
"722.39","Intervertebral disc disorders; Other"
"722.4","Intervertebral disc disorders; Degeneration of cervical intervertebral disc"
"722.5","Intervertebral disc disorders; Degeneration of thoracic or lumbar intervertebral disc"
"722.51","Intervertebral disc disorders; Thoracic or thoracolumbar intervertebral disc"
"722.52","Intervertebral disc disorders; Lumbar or lumbosacral intervertebral disc"
"722.6","Intervertebral disc disorders; Degeneration of intervertebral disc, site unspecified"
"722.7","Intervertebral disc disorders; Intervertebral disc disorder with myelopathy"
"722.70","Intervertebral disc disorders; Unspecified region"
"722.71","Intervertebral disc disorders; Cervical region"
"722.72","Intervertebral disc disorders; Thoracic region"
"722.73","Intervertebral disc disorders; Lumbar region"
"722.8","Intervertebral disc disorders; Postlaminectomy syndrome"
"722.80","Intervertebral disc disorders; Unspecified region"
"722.81","Intervertebral disc disorders; Cervical region"
"722.82","Intervertebral disc disorders; Thoracic region"
"722.83","Intervertebral disc disorders; Lumbar region"
"722.9","Intervertebral disc disorders; Other and unspecified disc disorder"
"722.90","Intervertebral disc disorders; Unspecified region"
"722.91","Intervertebral disc disorders; Cervical region"
"722.92","Intervertebral disc disorders; Thoracic region"
"722.93","Intervertebral disc disorders; Lumbar region"
"723","Other disorders of cervical region"
"723.0","Other disorders of cervical region; Spinal stenosis of cervical region"
"723.1","Other disorders of cervical region; Cervicalgia"
"723.2","Other disorders of cervical region; Cervicocranial syndrome"
"723.3","Other disorders of cervical region; Cervicobrachial syndrome (diffuse)"
"723.4","Other disorders of cervical region; Brachia neuritis or radiculitis NOS"
"723.5","Other disorders of cervical region; Torticollis, unspecified"
"723.6","Other disorders of cervical region; Panniculitis specified as affecting neck"
"723.7","Other disorders of cervical region; Ossification of posterior longitudinal ligament in cervical region"
"723.8","Other disorders of cervical region; Other syndromes affecting cervical region"
"723.9","Other disorders of cervical region; Unspecified musculoskeletal disorders and symptoms referable to neck"
"724","Other and unspecified disorders of back"
"724.0","Other and unspecified disorders of back; Spinal stenosis, other than cervical"
"724.00","Other and unspecified disorders of back; Spinal stenosis, unspecified region"
"724.01","Other and unspecified disorders of back; Thoracic region"
"724.02","Other and unspecified disorders of back; Lumbar region, without neurogenic claudication"
"724.03","Other and unspecified disorders of back; Lumbar region, with neurogenic claudication"
"724.09","Other and unspecified disorders of back; Other"
"724.1","Other and unspecified disorders of back; Pain in thoracic spine"
"724.2","Other and unspecified disorders of back; Lumbago"
"724.3","Other and unspecified disorders of back; Sciatia"
"724.4","Other and unspecified disorders of back; Thoracic or lumbosacral neuritis or radiculitis, unspecified"
"724.5","Other and unspecified disorders of back; Backache, unspecified"
"724.6","Other and unspecified disorders of back; Disorders of sacrum"
"724.7","Other and unspecified disorders of back; Disorders of coccyx"
"724.70","Other and unspecified disorders of back; Unspecified disorder of coccyx"
"724.71","Other and unspecified disorders of back; Hypermobility of coccyx"
"724.79","Other and unspecified disorders of back; Other"
"724.8","Other and unspecified disorders of back; Other symptoms referable to back"
"724.9","Other unspecified back disorders"
"725","Polymyalgia rheumatica"
"726","Peripheral enthesopathies and allied syndromes"
"726.0","Peripheral enthesopathies and allied syndromes; Adhesive capsulitis of shoulder"
"726.1","Peripheral enthesopathies and allied syndromes; Rotator cuff syndrome of shoulder and allied disorders"
"726.10","Peripheral enthesopathies and allied syndromes; Disorders of bursae and tendons in shoulder region, unspecified"
"726.11","Peripheral enthesopathies and allied syndromes; Calcifying tendinitis of shoulder"
"726.12","Peripheral enthesopathies and allied syndromes; Bicipital tenosynovitis"
"726.13","Peripheral enthesopathies and allied syndromes; Partial tear of rotator cuff"
"726.19","Peripheral enthesopathies and allied syndromes; Other specified disorders"
"726.2","Peripheral enthesopathies and allied syndromes; Other affections of shoulder region, not elsewhere classified"
"726.3","Peripheral enthesopathies and allied syndromes; Enthesopathy of elbow region"
"726.30","Peripheral enthesopathies and allied syndromes; Enthesopathy of elbow, unspecified"
"726.31","Peripheral enthesopathies and allied syndromes; Medial epicondylitis"
"726.32","Peripheral enthesopathies and allied syndromes; Lateral epicondylitis"
"726.33","Peripheral enthesopathies and allied syndromes; Olecranon bursitis"
"726.39","Peripheral enthesopathies and allied syndromes; Other"
"726.4","Peripheral enthesopathies and allied syndromes; Enthesopathy of wrist and carpus"
"726.5","Peripheral enthesopathies and allied syndromes; Enthesopathy of hip region"
"726.6","Peripheral enthesopathies and allied syndromes; Enthesopathy of knee"
"726.60","Peripheral enthesopathies and allied syndromes; Enthesopathy of knee, unspecified"
"726.61","Peripheral enthesopathies and allied syndromes; Pes anserinus tendinitis or bursitis"
"726.62","Peripheral enthesopathies and allied syndromes; Tibial collateral ligament bursitis"
"726.63","Peripheral enthesopathies and allied syndromes; Fibular collateral ligament bursitis"
"726.64","Peripheral enthesopathies and allied syndromes; Patellar tendinitis"
"726.65","Peripheral enthesopathies and allied syndromes; Prepatellar bursitis"
"726.69","Peripheral enthesopathies and allied syndromes; Other"
"726.7","Peripheral enthesopathies and allied syndromes; Enthesopathy of ankle and tarsus"
"726.70","Peripheral enthesopathies and allied syndromes; Enthesopathy of ankle and tarsus, unspecified"
"726.71","Peripheral enthesopathies and allied syndromes; Achilles bursitis or tendinitis"
"726.72","Peripheral enthesopathies and allied syndromes; Tibialis tendinitis"
"726.73","Peripheral enthesopathies and allied syndromes; Calcaneal spur"
"726.79","Peripheral enthesopathies and allied syndromes; Other"
"726.8","Peripheral enthesopathies and allied syndromes; Other peripheral enthesopathies"
"726.9","Peripheral enthesopathies and allied syndromes; Unspecified enthesopathy"
"726.90","Peripheral enthesopathies and allied syndromes; Enthesopathy of unspecified site"
"726.91","Peripheral enthesopathies and allied syndromes; Exostosis of unspecified site"
"727","Other disorders of synovium, tendon, and bursa"
"727.0","Other disorders of synovium, tendon, and bursa; Synovitis and tenosynovitis"
"727.00","Other disorders of synovium, tendon, and bursa; Synovitis and tenosynovitis, unspecified"
"727.01","Other disorders of synovium, tendon, and bursa; Synovitis and tenosynovitis in diseases classified elsewhere"
"727.02","Other disorders of synovium, tendon, and bursa; Giant cell tumor of tendon sheath"
"727.03","Other disorders of synovium, tendon, and bursa; Trigger finger (acquired)"
"727.04","Other disorders of synovium, tendon, and bursa; Radial styloid tenosynovitis"
"727.05","Other disorders of synovium, tendon, and bursa; Other tenosynovitis or hand and wrist"
"727.06","Other disorders of synovium, tendon, and bursa; Tenosynovitis of foot and ankle"
"727.09","Other disorders of synovium, tendon, and bursa; Other"
"727.1","Other disorders of synovium, tendon, and bursa; Bunion"
"727.2","Other disorders of synovium, tendon, and bursa; Specific bursitides often of occupational origin"
"727.3","Other disorders of synovium, tendon, and bursa; Other bursitis"
"727.4","Other disorders of synovium, tendon, and bursa; Ganglion and cyst of synovium, tendon, and bursa"
"727.40","Other disorders of synovium, tendon, and bursa; Synovial cyst, unspecified"
"727.41","Other disorders of synovium, tendon, and bursa; Ganglion of joint"
"727.42","Other disorders of synovium, tendon, and bursa; Ganglion of tendon sheath"
"727.43","Other disorders of synovium, tendon, and bursa; Ganglion, unspecified"
"727.49","Other disorders of synovium, tendon, and bursa; Other"
"727.5","Other disorders of synovium, tendon, and bursa; Rupture of synovium"
"727.50","Other disorders of synovium, tendon, and bursa; Rupture of synovium, unspecified"
"727.51","Other disorders of synovium, tendon, and bursa; Synovial cyst of popliteal space"
"727.59","Other disorders of synovium, tendon, and bursa; Other"
"727.6","Other disorders of synovium, tendon, and bursa; Rupture of tendon, nontraumatic"
"727.60","Other disorders of synovium, tendon, and bursa; Nontraumatic rupture of unspecified tendon"
"727.61","Other disorders of synovium, tendon, and bursa; Complete rupture of rotator cuff"
"727.62","Other disorders of synovium, tendon, and bursa; Tendons of biceps (long head)"
"727.63","Other disorders of synovium, tendon, and bursa; Extensor tendons of hand and wrist"
"727.64","Other disorders of synovium, tendon, and bursa; Flexor tendons of hand and wrist"
"727.65","Other disorders of synovium, tendon, and bursa; Quadriceps tendon"
"727.66","Other disorders of synovium, tendon, and bursa; Patellar tendon"
"727.67","Other disorders of synovium, tendon, and bursa; Achilles tendon"
"727.68","Other disorders of synovium, tendon, and bursa; Other tendons of foot and ankle"
"727.69","Other disorders of synovium, tendon, and bursa; Other"
"727.8","Other disorders of synovium, tendon, and bursa"
"727.81","Other disorders of synovium, tendon, and bursa; Contracture of tendon (sheath)"
"727.82","Other disorders of synovium, tendon, and bursa; Calcium deposits in tendon and bursa"
"727.83","Other disorders of synovium, tendon, and bursa; Plica syndrome"
"727.89","Other disorders of synovium, tendon, and bursa; Other"
"727.9","Other disorders of synovium, tendon, and bursa; Unspecified disorder of synovium, tendon, and bursa"
"728","Disorders of muscle, ligament, and fascia"
"728.0","Disorders of muscle, ligament, and fascia; Infective myositis"
"728.1","Disorders of muscle, ligament, and fascia; Muscular calcification and ossification"
"728.10","Disorders of muscle, ligament, and fascia; Calcification and ossification, unspecified"
"728.11","Disorders of muscle, ligament, and fascia; Progressive myositis ossificans"
"728.12","Disorders of muscle, ligament, and fascia; Traumatic myositis ossifications"
"728.13","Disorders of muscle, ligament, and fascia; Postoperative heterotopic calcification"
"728.19","Disorders of muscle, ligament, and fascia; Other"
"728.2","Disorders of muscle, ligament, and fascia; Muscular wasting and disuse atrophy, not elsewhere classified"
"728.3","Disorders of muscle, ligament, and fascia; Other specific muscle disorders"
"728.4","Disorders of muscle, ligament, and fascia; Laxity of ligament"
"728.5","Disorders of muscle, ligament, and fascia; Hypermobility syndrome"
"728.6","Disorders of muscle, ligament, and fascia; Contracture of palmar fascia"
"728.7","Disorders of muscle, ligament, and fascia; Other fibromatoses"
"728.71","Disorders of muscle, ligament, and fascia; Plantar fascial fibromatosis"
"728.79","Disorders of muscle, ligament, and fascia; Other"
"728.8","Other disorders of muscle, ligament, and fascia"
"728.81","Disorders of muscle, ligament, and fascia; Interstitial myositis"
"728.82","Disorders of muscle, ligament, and fascia; Foreign body granuloma of muscle"
"728.83","Disorders of muscle, ligament, and fascia; Rupture of muscle, nontraumatic"
"728.84","Disorders of muscle, ligament, and fascia; Diastasis of muscle"
"728.85","Disorders of muscle, ligament, and fascia; Spasm of muscle"
"728.86","Disorders of muscle, ligament, and fascia; Necrotizing fasciitis"
"728.87","Disorders of muscle, ligament, and fascia; Muscle weakness (generalized)"
"728.88","Disorders of muscle, ligament, and fascia; Rhabdomyolysis"
"728.89","Disorders of muscle, ligament, and fascia; Other"
"728.9","Unspecified disorder of muscle, ligament, and fascia"
"729","Other disorders of soft tissues"
"729.0","Other disorders of soft tissues; Rheumatism, unspecified and fibrositis"
"729.1","Other disorders of soft tissues; Myalgia and myositis, unspecified"
"729.2","Other disorders of soft tissues; Neuralgia, neuritis, and radiculitis, unspecified"
"729.3","Other disorders of soft tissues; Panniculitis, unspecified"
"729.30","Other disorders of soft tissues; Panniculitis, unspecified site"
"729.31","Other disorders of soft tissues; Hypertrophy of fat pad, knee"
"729.39","Other disorders of soft tissues; Other site"
"729.4","Other disorders of soft tissues; Fasciitis, unspecified"
"729.5","Other disorders of soft tissues; Pain in limb"
"729.6","Other disorders of soft tissues; Residual foreign body in soft tissue"
"729.7","Other disorders of soft tissues; Nontraumatic compartment syndrome"
"729.71","Other disorders of soft tissues; Nontraumatic compartment syndrome of upper extremity"
"729.72","Other disorders of soft tissues; Nontraumatic compartment syndrome of lower extremity"
"729.73","Other disorders of soft tissues; Nontraumatic compartment syndrome of abdomen"
"729.79","Other disorders of soft tissues; Nontraumatic compartment syndrome of other sites"
"729.8","Other disorders of soft tissues; Other musculoskeletal symptoms referable to limbs"
